Shape,Type,Length ,Width ,Diameter ,TriSide,Height,TopTemp,BotTemp,PreHeat,Cut ,LUP_Curing ,Bot _Curing,LUP _sec,LUP_cm,RT
Square,Bowl,12.7,12.7,-,-,3.81,155,155,40,5,15,70,0.125,0.0625,150.125
Triangle,Bowl,-,-,-,12.7,3.81,155,155,40,5,15,70,0.12,0.06,150.12
Triangle,Bowl,-,-,-,15.24,4.445,155,150,40,5,10,60,0.05,0.025,135.05
Round,Bowl,-,-,15.24,-,4.445,140,140,40,5,15,50,0.13,0.065,130.13
Round,Bowl,-,-,17.78,-,5.08,155,145,35,5,30,40,0.12,0.06,130.12
Rectangle,Bowl,14.605,9.525,-,-,1.25,150,140,30,10,30,40,0.115,0.0575,130.115
Round,Plate,-,-,15.24,-,1.27,140,150,20,3,12,40,0.1,0.05,95.1
Square,Plate,15.24,15.24,-,-,1.905,160,145,25,5,15,30,0.125,0.0625,95.125
Triangle,Plate,-,-,-,15.24,1.27,160,145,15,5,10,45,0.105,0.0525,95.105
Rectangle,Plate,15.24,7.62,-,-,1.905,155,150,30,10,10,50,0.11,0.055,120.11
Oval,Plate,17.78,12.7,-,-,1.905,165,145,25,10,10,35,0.12,0.06,100.12
Square,Plate,20.32,20.32,-,-,1.27,135,150,25,3,30,35,0.11,0.055,113.11
Square,Plate,22.86,22.86,-,-,2.54,160,150,30,5,20,35,0.12,0.06,110.12
Square,Plate,25.4,25.4,-,-,2.54,135,150,35,3,30,35,0.12,0.06,123.12
Rectangle,Tray,20.32,17.78,-,-,3.81,160,150,35,1,30,30,0.1,0.05,116.1
Rectangle,Tray,30.48,20.32,-,-,1.27,150,145,30,15,70,30,0.1,0.05,165.1
Rectangle,Tray,30.48,22.86,-,-,5.08,150,140,25,30,70,60,0.12,0.06,205.12
Rectangle,Tray,33.02,25.4,-,-,2.54,150,140,35,35,80,30,0.18,0.09,200.18
Round,Tray,33.02,33.02,-,-,1.27,160,130,60,1,30,40,0.12,0.06,151.12
